date_time,temperature,wind_speed,wind_direction
01.01.2016 00:00:00,-0.01,1.16,192.40
01.01.2016 00:10:00,0.01,1.01,211.60
01.01.2016 00:20:00,0.06,0.80,203.80
01.01.2016 00:30:00,0.07,0.77,184.20
01.01.2016 00:40:00,-0.05,0.84,200.10
01.01.2016 00:50:00,0.07,0.33,159.80
01.01.2016 01:00:00,-0.05,0.36,163.50
01.01.2016 01:10:00,-0.09,0.29,39.75
01.01.2016 01:20:00,-0.41,0.18,240.50
01.01.2016 01:30:00,-0.69,0.29,170.00
01.01.2016 01:40:00,-0.95,0.55,166.90
01.01.2016 01:50:00,-0.79,0.20,2.89
01.01.2016 02:00:00,-0.59,0.35,152.20
01.01.2016 02:10:00,-0.72,0.19,271.00
01.01.2016 02:20:00,-0.74,0.86,212.60
01.01.2016 02:30:00,-1.17,0.71,195.20
01.01.2016 02:40:00,-1.57,0.62,178.50
01.01.2016 02:50:00,-1.72,0.30,174.90
01.01.2016 03:00:00,-1.83,0.38,190.30
01.01.2016 03:10:00,-1.97,0.52,180.20
01.01.2016 03:20:00,-1.82,0.27,224.60
01.01.2016 03:30:00,-1.73,0.31,193.60
01.01.2016 03:40:00,-1.74,0.34,231.70
01.01.2016 03:50:00,-1.69,0.23,233.50
01.01.2016 04:00:00,-1.63,0.26,172.50
01.01.2016 04:10:00,-1.66,0.34,220.30
01.01.2016 04:20:00,-2.00,0.63,198.50
01.01.2016 04:30:00,-2.24,1.20,213.80
01.01.2016 04:40:00,-2.14,1.02,195.50
01.01.2016 04:50:00,-1.99,0.99,195.00
01.01.2016 05:00:00,-1.84,0.89,185.80
01.01.2016 05:10:00,-1.74,1.20,175.10
01.01.2016 05:20:00,-1.72,0.93,186.10
01.01.2016 05:30:00,-1.69,0.81,210.90
01.01.2016 05:40:00,-1.72,1.09,192.90
01.01.2016 05:50:00,-1.84,1.25,202.30
01.01.2016 06:00:00,-1.82,0.71,175.70
01.01.2016 06:10:00,-1.67,0.66,192.30
01.01.2016 06:20:00,-1.67,0.74,158.50
01.01.2016 06:30:00,-1.71,1.24,166.50
01.01.2016 06:40:00,-1.55,0.67,147.80
01.01.2016 06:50:00,-1.60,0.85,220.20
01.01.2016 07:00:00,-1.42,1.33,227.10
01.01.2016 07:10:00,-1.18,0.95,182.20
01.01.2016 07:20:00,-1.17,1.14,201.10
01.01.2016 07:30:00,-0.94,1.41,200.30
01.01.2016 07:40:00,-0.84,1.31,205.90
01.01.2016 07:50:00,-0.89,0.95,197.00
01.01.2016 08:00:00,-0.97,0.98,197.20
01.01.2016 08:10:00,-1.04,1.08,137.90
01.01.2016 08:20:00,-1.26,1.01,155.90
01.01.2016 08:30:00,-1.35,0.99,182.70
01.01.2016 08:40:00,-1.35,1.09,162.60
01.01.2016 08:50:00,-1.41,1.86,172.20
01.01.2016 09:00:00,-1.44,1.90,179.80
01.01.2016 09:10:00,-1.27,0.58,113.80
01.01.2016 09:20:00,-0.95,0.49,197.80
01.01.2016 09:30:00,-0.51,1.18,198.80
01.01.2016 09:40:00,-0.55,1.19,215.00
01.01.2016 09:50:00,-0.72,1.40,202.00
01.01.2016 10:00:00,-0.55,1.11,201.40
01.01.2016 10:10:00,-0.43,1.00,158.90
01.01.2016 10:20:00,-0.45,1.61,155.00
01.01.2016 10:30:00,-0.67,2.01,155.50
01.01.2016 10:40:00,-0.78,2.53,157.40
01.01.2016 10:50:00,-0.62,2.13,168.30
01.01.2016 11:00:00,-0.80,2.20,157.20
01.01.2016 11:10:00,-0.77,1.73,152.60
01.01.2016 11:20:00,-0.54,0.52,145.80
01.01.2016 11:30:00,-0.42,0.59,173.20
01.01.2016 11:40:00,-0.54,0.75,213.00
01.01.2016 11:50:00,-0.32,0.81,188.60
01.01.2016 12:00:00,-0.03,0.96,164.00
01.01.2016 12:10:00,0.18,0.78,180.40
01.01.2016 12:20:00,0.37,0.72,160.10
01.01.2016 12:30:00,0.80,0.70,157.60
01.01.2016 12:40:00,1.25,0.95,159.80
01.01.2016 12:50:00,1.32,0.81,145.50
01.01.2016 13:00:00,1.53,0.80,152.10
01.01.2016 13:10:00,1.69,0.98,132.20
01.01.2016 13:20:00,1.59,1.22,147.40
01.01.2016 13:30:00,2.05,0.79,186.90
01.01.2016 13:40:00,2.49,0.71,188.70
01.01.2016 13:50:00,2.72,0.74,144.70
01.01.2016 14:00:00,2.44,0.88,161.40
01.01.2016 14:10:00,1.99,1.14,148.00
01.01.2016 14:20:00,2.25,0.59,127.10
01.01.2016 14:30:00,2.11,0.44,91.20
01.01.2016 14:40:00,2.15,0.36,5.16
01.01.2016 14:50:00,2.51,0.47,79.80
01.01.2016 15:00:00,2.23,0.67,191.40
01.01.2016 15:10:00,2.13,0.38,234.80
01.01.2016 15:20:00,2.34,0.19,255.90
01.01.2016 15:30:00,2.56,0.23,260.10
01.01.2016 15:40:00,2.56,0.37,208.90
