TIME,TEMPERATURE,WIND_SPEED,WIND_DIRECTION
2000032218,6.4,1.4,47.3
2000032300,3.4,0.8,325
2000032306,5.4,0.7,307.7
2000032312,8.9,0.7,319.8
2000032318,9.2,1.9,299.5
2000032400,7,2.5,323.3
2000032406,6.8,4.8,315.1
2000032412,11.9,6.5,305
2000032418,6.8,3.6,325.3
2000032500,3.7,3,344.8
2000032506,6.1,3.5,330
2000032512,13,5.1,291.6
2000032518,11.2,6.1,310.1
2000032600,7.8,3.7,331.7
2000032606,8.2,0.8,329.6
2000032612,16.6,3.7,313.8
2000032618,13.3,1.6,353.9
2000032700,6.5,0.3,338.1
2000032706,10.4,1.1,288.2
2000032712,18.7,6.9,243.4
2000032718,14.9,4.3,240
2000032800,13.9,4.2,235.3
2000032806,13.7,2.4,235.3
2000032812,12.8,3.4,269.2
2000032818,8.1,1.3,325.7
2000032900,6.8,1.6,310.9
2000032906,7.6,3,353.4
2000032912,12.6,3.1,346.6
2000032918,10,1.4,222.4
2000033000,7.1,2.7,336.7
2000033006,9.1,2.1,9.7
2000033012,16.8,2.8,171.8
2000033018,12.9,1.7,289
2000033100,8.3,0.6,13.6
2000033106,9.5,0.9,300.3
2000033112,17.7,2.4,266.7
2000033118,14.6,2.4,50.5
2000040100,8.7,1.4,3.3
2000040106,9.9,0.9,255.1
2000040112,15.8,4,173.2
2000040118,12.7,2.1,228.5
2000040200,8.7,0.6,317.2
2000040206,11.4,1.9,45
2000040212,14.9,4.8,93.4
2000040218,12,1.5,40.4
2000040300,9.8,0.3,10
2000040306,12.1,0.6,30.2
2000040312,17,3.7,119.6
2000040318,12.1,1.5,45
2000040400,8.9,0.8,340
2000040406,11,0.4,18.4
2000040412,14.8,1,110.6
2000040418,12.9,0.7,325
2000040500,11.2,0.9,336.3
2000040506,13.4,0.9,234.1
2000040512,18.2,3.8,0
2000040518,11.9,3.4,6.6
2000040600,6.6,1.6,0
2000040606,8.5,1,302.8
2000040612,14.4,4.7,183.3
2000040618,11,2.1,218.6
2000040700,8.3,1.2,283.1
2000040706,12,1.9,274.4
2000040712,20.5,5.6,260.2
2000040718,15.4,4.6,321.6
2000040800,8.4,3,4.1
2000040806,10,2,31.8
2000040812,14.1,3.9,130.7
2000040818,10.7,1.6,70
2000040900,5.9,0.9,333.1
2000040906,9.5,1.2,255.9
2000040912,17.1,3.8,202.4
2000040918,15.7,2.1,231.8
2000041000,13.9,2.5,233.1
2000041006,16.5,3,280.2
2000041012,14,5.5,346.5
2000041018,7.8,3.7,330
2000041100,4.2,1.6,15
2000041106,7,2.8,288.3
2000041112,17,5.1,266.7
2000041118,14.5,2.3,312.9
2000041200,12.2,3.9,299.9
2000041206,14.6,1.9,301.3
2000041212,21.2,4.1,270
2000041218,15.9,3,276.3
2000041300,11.1,0.7,331.9
2000041306,13.3,0.4,327.6
2000041312,23.1,3.5,170
2000041318,20.4,1.7,288.4
2000041400,16.6,1.4,37.6
2000041406,15.2,3.5,65.6
2000041412,15.5,4,104.7
2000041418,12.9,1.2,62.5
2000041500,11.5,0.7,7.3
2000041506,11.6,1.4,339.6
2000041512,12.2,2.7,54.2
2000041518,9.7,2,10.2
2000041600,8.4,0.9,36.1
2000041606,10.9,1.3,17.8
2000041612,14.2,3.7,172.6
2000041618,12,1.4,278.5
2000041700,8.8,0.8,323.1
2000041706,12,1.2,275.4
2000041712,22.3,4.8,283.4
2000041718,18,2.2,0
2000041800,11.3,0.3,350
2000041806,15.7,1.8,173.4
2000041812,20.7,5.6,256.6
2000041818,17.6,2.7,236.6
2000041900,15.7,1.1,329.3
2000041906,15,2.8,182.6
2000041912,13.6,1.9,51.1
2000041918,12.6,2.3,6.6
2000042000,12.4,2.4,10
2000042006,12.6,2.6,26.6
2000042012,14.6,2.7,41.5
2000042018,12.8,2,63.4
2000042100,11.9,0.8,25
2000042106,12.5,0.8,327.5
2000042112,17.8,2.6,257.4
2000042118,15.7,2,283.4
2000042200,13.4,1.7,278.7
2000042206,15,0.8,174.1
2000042212,20.7,5.6,215.8
2000042218,15.7,4.9,310.7
2000042300,11.3,4.6,294.9
2000042306,13.9,6.3,286.7
2000042312,19.6,4.9,293.2
2000042318,15.2,2.3,350.2
2000042400,10.8,2,350
2000042406,13,1.4,278.7
2000042412,20.6,5,340
2000042418,17,2.2,325.3
2000042500,14.3,1.4,327.4
2000042506,15.8,0.7,295
2000042512,20.5,3.9,182.4
2000042518,17.4,3.5,253.3
2000042600,13,1.3,240
2000042606,13.2,1.2,246.6
2000042612,16.5,1.7,253.4
2000042618,15.8,2.5,8.7
2000042700,10.7,1.9,18.2
2000042706,11.2,0.6,10
2000042712,12.2,2.7,80
2000042718,9.5,1.6,54.4
2000042800,8.5,0.8,355.9
2000042806,11.4,1.4,296.6
2000042812,16.1,3.2,97.2
2000042818,13.1,1,279
2000042900,8.8,0.7,328.3
2000042906,14.2,0.9,307.5
2000042912,21.5,3.6,156.6
2000042918,16.9,1.3,262.6
2000043000,12.9,0.5,0.1
2000043006,12.8,1.3,320.7
2000043012,15.9,2.5,210.2
2000043018,13.3,1.1,305
2000050100,11.3,0.9,334.9
2000050106,15.2,1.2,202.1
2000050112,21.9,4.1,176.6
2000050118,18.6,2.6,196.9
2000050200,13.1,1,28.9
2000050206,13.5,1.6,201.2
2000050212,15.4,3.5,128.2
2000050218,13.1,1.4,44.4
2000050300,10.7,1.2,313.3
2000050306,15,1.3,243.9
2000050312,21.8,3.6,162.7
2000050318,17.5,0.9,0
2000050400,14,0.2,357
2000050406,17.8,1.6,283
2000050412,22.1,2.8,126
2000050418,18.1,0.8,48.1
2000050500,15.8,0.3,350.3
2000050506,18.9,1,267.6
2000050512,25.4,2.9,145
2000050518,20.6,2.1,157.5
2000050600,17.4,1.3,25
2000050606,17.6,1.4,280.7
2000050612,19.9,2.8,215.7
2000050618,14.1,3,83.4
2000050700,11.9,0.8,12.6
2000050706,15.5,1.2,302.6
2000050712,21.4,3.8,160
2000050718,18.4,1.8,298.6
2000050800,12.9,0.6,264.9
2000050806,17.3,1.2,291.3
2000050812,26.3,2.3,121.9
2000050818,22.4,1.1,356
2000050900,15.5,0.9,335.5
2000050906,18.1,1.5,232.9
2000050912,20.1,2.6,128
2000050918,14,1.7,55
2000051000,12.8,0.9,4.4
2000051006,13.9,1.6,109.8
2000051012,15.6,2.5,153.4
2000051018,15.6,1.9,218.2
2000051100,12.8,0.4,339.1
2000051106,14.7,1.5,285
2000051112,18.3,2.2,185.7
2000051118,15.9,1.3,308.2
2000051200,11.8,0.9,295.6
2000051206,14.9,0.9,21.1
2000051212,18.8,4.1,149.8
2000051218,15.4,2.3,130.1
2000051300,13.4,0.5,2.8
2000051306,15,0.8,83.7
2000051312,14.7,1.3,171.8
2000051318,13.1,0.6,20.3
2000051400,11,0.6,322.3
2000051406,14.1,0.8,22.6
